tunnel,statistic,estimate,cluster_ci_lo,cluster_ci_hi,naive_ci_lo,naive_ci_hi,ci_width_ratio,n_points,n_clusters
UIUC,mean_abs_dCL,0.07152104194018095,0.0637634800830167,0.08107329195538594,0.06987911500495003,0.07321010556613242,5.196595893752658,4428,55
UIUC,bias_CL,0.0392721664555204,0.028322121176859137,0.05202730728388059,0.037058568601555784,0.041762361659858985,5.039589500047569,4428,55
UIUC,mean_abs_errCD,0.1231553263475397,0.11346762981385473,0.1336869901956806,0.11907182889220594,0.1273612373724546,2.4391801212357795,4428,55
UIUC,median_abs_errCD,0.0814984349469996,0.07378973506019544,0.08792314380160766,0.07886152145557315,0.0846615828223713,2.436768828398519,4428,55
UIUC,bias_CD,0.003700219471796165,-0.013925218391564364,0.020785588772753476,-0.0018831104559309923,0.009442771096618898,3.064733372255964,4428,55
UIUC,median_abs_errLD,0.15040433043869766,0.13408156027268955,0.16666264196939393,0.14467396230901752,0.15549419569460438,3.0111255955074103,4428,55
UIUC,bias_LD,0.15147069086675588,0.12432712014076963,0.18008119377339804,0.14041489369512053,0.1633023850328716,2.4360063237103926,4428,55
UIUC,r_conf_absErrCD,-0.42566690434186333,-0.5042210710459331,-0.3513541484434516,-0.4674562373490567,-0.38130629255816584,1.7744285614289208,4428,55
UIUC,r_conf_absDCL,-0.0015704856123023951,-0.06697567740353079,0.06736096075484127,-0.030040030383883316,0.027648522797152415,2.3286532726310987,4428,55
UIUC,rho_airfoil_conf_errCD,-0.6505772005772007,-0.7967208208241139,-0.45548125874090045,-0.7093795093795097,-0.5139249639249639,1.7458768292629496,4428,55
UIUC,errCD_conf_below_0.5,0.32299353702308853,0.26412276205983004,0.40520875415660496,0.28611837706075244,0.358514445257958,1.9488073815343017,4428,55
UIUC,errCD_conf_above_0.95,0.09131266226193038,0.08349168364850795,0.10001716987668434,0.08819564325414794,0.09466549899364701,2.554227929270008,4428,55
Princeton,mean_abs_dCL,0.0858021568383796,0.0800196945829715,0.09293810686169149,0.0840368646089077,0.08748117227472185,3.750655728853536,4702,54
Princeton,bias_CL,0.046054245238869286,0.03529229256531266,0.05871836948057052,0.04328867361037027,0.04882982952823475,4.227651642093853,4702,54
Princeton,mean_abs_errCD,0.11103831050718303,0.10293761192092155,0.12007251341763808,0.10766874393949719,0.11453504478783763,2.495506951295029,4702,54
Princeton,median_abs_errCD,0.07485051790304911,0.0674815971678956,0.08153476568839145,0.07170492912564315,0.07796008377613015,2.2466540486575712,4702,54
Princeton,bias_CD,0.013080435786084523,0.0005156800603970867,0.026066455636637953,0.008395240175087824,0.017896533551986907,2.689189204320709,4702,54
Princeton,median_abs_errLD,0.15044505967077135,0.14107737840150097,0.15937056832020002,0.1459859010271498,0.15503716353707114,2.0210650059753976,4702,54
Princeton,bias_LD,0.14994606971750077,0.12118431699289632,0.1810467672326072,0.1373675233377808,0.16345479491846052,2.2946995455072856,4702,54
Princeton,r_conf_absErrCD,-0.26479362862018235,-0.3298133416715416,-0.20087749876803007,-0.31648503800307354,-0.21621119292425878,1.2858372270672234,4702,54
Princeton,r_conf_absDCL,-0.026580949192174415,-0.07052312457034175,0.016451073183098613,-0.05460695320606614,-0.00042410948651748053,1.6051980993028037,4702,54
Princeton,rho_airfoil_conf_errCD,-0.09601677148846958,-0.33509234913910607,0.142825253885276,-0.2640651801029159,0.01804459691252135,1.6940837998614633,4702,54
Princeton,errCD_conf_below_0.5,0.29866196801151135,0.23863627397088177,0.3774995564697516,0.2478511153094582,0.35395615740690944,1.3087340597003112,4702,54
Princeton,errCD_conf_above_0.95,0.0959981399015819,0.08883750349158372,0.10364677685186222,0.09302334770351468,0.0991544771916699,2.415423355335856,4702,54
pooled,mean_abs_dCL,0.07887589432258293,0.07311140795932514,0.08530521366776977,0.07773028523093674,0.08007098019810888,5.209480893264931,9130,94
pooled,bias_CL,0.042764974170668976,0.0343955229298164,0.05241701622673191,0.04090169712730459,0.04453861969208393,4.955149023913545,9130,94
pooled,mean_abs_errCD,0.11691499683150934,0.1106581338764297,0.12305180127252568,0.11426369406210464,0.11964473516922794,2.303209945690534,9130,94
pooled,median_abs_errCD,0.07822281903096705,0.0734516802509492,0.08245163491735939,0.07627864977256839,0.0801099586727808,2.3490548271665674,9130,94
pooled,bias_CD,0.008531082243952118,-0.0028526177808294905,0.019677257040834437,0.0050880006710586215,0.012165058935706869,3.1835084549475208,9130,94
pooled,median_abs_errLD,0.1504246950547345,0.14130795934769957,0.15854165435244688,0.1472181546353945,0.15361239156398157,2.695191810566118,9130,94
pooled,bias_LD,0.15066138854437733,0.1298779907390308,0.17372363939736946,0.14197023855062538,0.15933841544802416,2.5244819256133546,9130,94
pooled,r_conf_absErrCD,-0.37125648586180077,-0.4275173394373027,-0.31401528391205796,-0.4079295837600506,-0.33714568055200844,1.603500942744693,9130,94
pooled,r_conf_absDCL,0.007674111161432673,-0.03582067777790651,0.05002896557205339,-0.013061726126223208,0.027100524622611723,2.137570523296688,9130,94
pooled,rho_airfoil_conf_errCD,-0.4143409312574504,-0.5857878505028274,-0.21977628718003725,-0.5024589098002384,-0.3235939023949717,2.046300551641678,9130,94
pooled,errCD_conf_below_0.5,0.3173526542418579,0.26773207020571405,0.37602612076901093,0.28809425809989964,0.349053127959128,1.7765101422217815,9130,94
pooled,errCD_conf_above_0.95,0.09388840154907242,0.08918300758530051,0.09844649276372189,0.09167604331552355,0.09620669597861128,2.044624884598441,9130,94
