Re,alpha,CL,CD,Re_nom_k,airfoil,source
100029,-5.25,-0.292,0.0472,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,-4.24,-0.156,0.0293,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,-3.12,-0.001,0.022,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,-2.13,0.139,0.0187,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,-1.11,0.238,0.0174,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,-0.08,0.339,0.0202,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,0.95,0.435,0.0229,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,1.96,0.53,0.0266,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,3.0,0.623,0.029,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,4.0,0.715,0.0317,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,7.07,1.032,0.0218,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,8.11,1.13,0.0215,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,9.17,1.176,0.0269,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,10.11,1.185,0.0363,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100029,11.14,1.188,0.0526,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,-6.21,-0.338,0.0754,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,-3.18,0.034,0.0218,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,-2.1,0.187,0.0197,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,-1.07,0.28,0.0178,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,-0.05,0.381,0.0205,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,0.93,0.474,0.0229,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,1.97,0.583,0.0235,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,3.05,0.688,0.022,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,4.05,0.785,0.0198,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,5.1,0.885,0.019,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,6.06,0.981,0.0186,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,7.14,1.075,0.0193,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,8.13,1.136,0.0253,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,9.15,1.183,0.03,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,10.16,1.22,0.0381,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
100062,11.14,1.228,0.051,100,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-6.22,-0.346,0.0754,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-5.18,-0.15,0.037,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-4.17,-0.026,0.018,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-3.15,0.062,0.0154,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-2.12,0.162,0.013,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-1.09,0.263,0.0124,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,-0.02,0.369,0.0113,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,0.96,0.465,0.0102,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,1.96,0.558,0.0115,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,3.0,0.646,0.0131,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,4.0,0.748,0.0149,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,5.03,0.842,0.0166,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,6.09,0.937,0.0186,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,7.1,1.03,0.0204,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,8.12,1.117,0.0227,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,9.12,1.194,0.0258,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,10.13,1.237,0.032,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,11.13,1.228,0.0503,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199800,12.17,1.215,0.0733,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-6.24,-0.332,0.0705,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-5.2,-0.138,0.0352,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-4.17,-0.015,0.0192,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-3.14,0.081,0.015,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-2.14,0.178,0.0125,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-1.09,0.271,0.0102,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,-0.05,0.381,0.0104,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,0.97,0.483,0.011,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,2.01,0.593,0.0118,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,3.0,0.698,0.0126,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,4.09,0.806,0.0134,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,5.02,0.902,0.0138,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,6.09,1.017,0.014,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,7.14,1.119,0.0149,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,8.15,1.191,0.0181,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,9.18,1.226,0.0265,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,10.12,1.234,0.0358,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,11.18,1.227,0.055,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
199879,12.2,1.218,0.0774,200,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-6.25,-0.304,0.0669,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-5.21,-0.139,0.0341,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-4.18,-0.028,0.0169,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-3.2,0.064,0.0131,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-2.07,0.184,0.011,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-1.11,0.288,0.0092,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,-0.04,0.393,0.0083,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,1.02,0.502,0.0088,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,1.96,0.61,0.0092,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,3.02,0.714,0.0098,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,4.0,0.817,0.0105,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,5.06,0.935,0.0112,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,6.11,1.041,0.0115,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
300289,7.15,1.135,0.0131,300,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-6.23,-0.292,0.0651,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-5.2,-0.15,0.0341,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-4.16,-0.04,0.0145,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-3.13,0.064,0.0114,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-2.13,0.172,0.0099,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-1.08,0.28,0.0085,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,-0.09,0.382,0.0069,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,0.96,0.5,0.0072,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,1.98,0.611,0.0075,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,3.0,0.721,0.0079,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,4.03,0.835,0.0087,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,5.12,0.948,0.0094,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,6.09,1.045,0.0101,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,7.15,1.132,0.0128,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,8.18,1.195,0.0172,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,9.12,1.236,0.0224,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,10.14,1.255,0.0318,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,11.12,1.252,0.0543,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
459961,12.16,1.242,0.079,460,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-6.22,-0.295,0.0674,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-5.2,-0.16,0.0363,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-4.19,-0.047,0.0147,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-3.2,0.047,0.0124,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-2.16,0.155,0.0111,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-1.12,0.261,0.0112,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,-0.08,0.374,0.0119,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,0.95,0.478,0.0124,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,1.98,0.582,0.0129,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,2.99,0.688,0.0136,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,4.04,0.794,0.0147,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,5.06,0.894,0.0159,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,6.08,0.986,0.0172,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,7.11,1.076,0.0189,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,8.09,1.162,0.0207,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,9.16,1.228,0.0231,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,10.16,1.242,0.0342,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,11.16,1.234,0.0585,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
500060,12.12,1.227,0.0809,500,E387,NREL_SR-500-34515_Selig_McGranahan_2004_AppB_p114
