decile,n,mean_pred,mean_actual,median_actual,mean_conf,mean_logRe
0,822,0.057156403652032825,0.06912046090881685,0.06186033206456195,0.977808901655961,5.500844188717481
1,821,0.06444924906769765,0.06255483738842252,0.0510922917391987,0.9790887075754604,5.377939488485671
2,821,0.07097099426871101,0.06365490756963947,0.0492034944087293,0.9789857952770172,5.318784367060138
3,821,0.07848902645961724,0.07425578869703844,0.0581102650228792,0.9785404120611927,5.241390654813013
4,821,0.08725074009225203,0.08274691534231488,0.0608601164586605,0.9763358834583681,5.198022955809828
5,821,0.09787081201981712,0.09711408489721787,0.0729083850234324,0.9733489954605022,5.122313160381837
6,821,0.11049229065759078,0.11341992563191293,0.0852658658853241,0.9686778186240015,5.0920051510566635
7,821,0.12779246445519993,0.13079733643266106,0.1045600025915063,0.9608676962703183,5.048187808512795
8,821,0.16104536262509933,0.16752717390219654,0.1294541335007508,0.931713224538705,5.06245982994189
9,821,0.2919088802275216,0.2868853771758752,0.2278843645643237,0.6468687276769758,5.092533891078701
