alpha_lo,alpha_hi,band,n,airfoils,n_negative_lift,xtr_p10,xtr_p90,rho_suction,rho_upper,rho_suction_NF
-3,0,40-130k,599,108,336,0.11950000000000001,1.0,-0.22432778824780808,0.18962108071208778,-0.1428015516780482
-3,0,130-250k,556,109,173,0.2573,0.93415,-0.0028935313162074573,0.1190633267127796,0.008880213947295969
-3,0,250-550k,442,106,117,0.30504,0.90966,0.06661067847049164,0.07243607101343373,0.04336233378476266
0,3,40-130k,599,108,6,0.72458,0.97962,0.03519961974010431,0.03519961974010431,-0.005709609546756606
0,3,130-250k,561,108,5,0.6276,0.8775,-0.0018060386837889268,-0.00275539420469405,-0.029153688194657978
0,3,250-550k,432,105,3,0.55875,0.8246600000000001,-0.045564073151060445,-0.0479391859357295,-0.13508560009228726
3,6,40-130k,599,108,0,0.48402,0.7677,0.2244979158458207,0.2244979158458207,0.23566549895404348
3,6,130-250k,557,107,0,0.37382,0.6675000000000001,0.008899436168184598,0.008899436168184598,-0.015783090024560246
3,6,250-550k,436,105,0,0.27849999999999997,0.6093500000000001,0.11755229892217836,0.11755229892217836,0.14524609540252728
6,9,40-130k,591,108,0,0.0925,0.5559,-0.11770224296758215,-0.11770224296758215,-0.10563077050254178
6,9,130-250k,561,107,0,0.0432,0.4781,-0.1723736864615946,-0.1723736864615946,-0.1597649653142435
6,9,250-550k,410,98,0,0.026740000000000003,0.41405,-0.18895768608351718,-0.18895768608351718,-0.1998164232465234
