band,quartile,n,xtr_mean,alpha_mean,CD_mean,abs_CD_err,err_XF,err_NF
40-80k,Q1 shortest,322,0.11154844720496894,3.8314285714285714,0.035612111801242234,0.010633105590062112,0.320137384022446,0.2980902775916144
40-80k,Q2,322,0.3691108695652174,4.982981366459628,0.03263229813664596,0.006407888198757764,0.18294258700127614,0.16865994403626033
40-80k,Q3,321,0.7167183800623053,3.4168535825545168,0.03164018691588785,0.004167570093457944,0.12880232508562772,0.12643231454070816
40-80k,Q4 longest,322,0.9433574534161491,0.15133540372670806,0.02126335403726708,0.0025948757763975157,0.1390075384643722,0.13806048192589032
80-130k,Q1 shortest,489,0.07995644171779141,4.315316973415133,0.03437586912065439,0.007026932515337423,0.20340161550614716,0.17273205128000577
80-130k,Q2,488,0.31789528688524593,5.823709016393442,0.026756147540983606,0.004827643442622951,0.1250987780083541,0.10005628674521493
80-130k,Q3,488,0.6558114754098362,3.138073770491803,0.021193237704918034,0.0030392827868852457,0.10993223991095798,0.10480296001551773
80-130k,Q4 longest,489,0.8787869120654397,-0.16030674846625764,0.01837280163599182,0.0020469938650306747,0.1059284345852091,0.10777021785634336
130-180k,Q1 shortest,273,0.056941025641025635,4.9907326007326,0.03472747252747253,0.008144542124542124,0.1968365808858468,0.16634753831254184
130-180k,Q2,272,0.28984522058823525,6.201580882352941,0.02101764705882353,0.002112279411764706,0.0889165157265096,0.08458993026445284
130-180k,Q3,272,0.6350466911764707,2.9997426470588238,0.01461764705882353,0.001056360294117647,0.06818826835890263,0.06717953734821458
130-180k,Q4 longest,272,0.8584547794117647,-0.48477941176470596,0.013229411764705882,0.0010363235294117649,0.07458384677585957,0.07547935436365823
180-250k,Q1 shortest,517,0.04541721470019343,5.086324951644101,0.03133114119922631,0.006567272727272726,0.17797938041774639,0.15073681737144787
180-250k,Q2,517,0.26288394584139263,6.343230174081238,0.019814700193423598,0.0019852804642166346,0.08272929711227442,0.08246353579060575
180-250k,Q3,516,0.5934478682170542,2.972538759689922,0.013531201550387598,0.001069593023255814,0.06520829636656182,0.06518569191836185
180-250k,Q4 longest,517,0.830321083172147,-0.597678916827853,0.012241972920696325,0.000989651837524178,0.07187041723851958,0.06940465393063773
250-550k,Q1 shortest,605,0.03982314049586777,4.776595041322314,0.026039834710743802,0.00487801652892562,0.14073661827558198,0.12893770116512807
250-550k,Q2,604,0.2570796357615894,6.009751655629139,0.01597764900662252,0.0015952152317880795,0.0798580286151406,0.07778636512467364
250-550k,Q3,604,0.574348178807947,2.4917715231788082,0.010886920529801324,0.000961953642384106,0.07805199116524972,0.0773093982909715
250-550k,Q4 longest,604,0.8047223509933776,-0.8734933774834436,0.010492218543046357,0.0012046026490066225,0.08265320163691403,0.07840805863618039
