band,error,n,airfoils,boot_dropped,Re_median,xtr_median,rho_raw,raw_lo,raw_hi,rho_partial,partial_lo,partial_hi
all,XF_vs_tunnel,8814,109,0,198550.0,0.48305,-0.19933734603956177,-0.24446706651027011,-0.15405985029187866,-0.1699099597086354,-0.21411785620020687,-0.11966383516149383
all,NF_vs_tunnel,8814,109,0,198550.0,0.48305,-0.16233893885746603,-0.2052111212982055,-0.1148815918703131,-0.1471643756311903,-0.19114600940803686,-0.09839106467092412
40-80k,XF_vs_tunnel,1287,77,0,60100.0,0.5756,-0.3349494459605033,-0.3972866167858679,-0.2695666368828191,-0.2836407496347194,-0.35246315558406116,-0.21132335831441165
40-80k,NF_vs_tunnel,1287,77,0,60100.0,0.5756,-0.30902230681198517,-0.3755829477555591,-0.2406355120866422,-0.24910245493471772,-0.3136671683047441,-0.17225598977518833
80-130k,XF_vs_tunnel,1954,108,0,100200.0,0.51675,-0.19055439504564844,-0.25172259146210413,-0.13187352663547866,-0.2586974132260796,-0.32255079713540746,-0.18899693328574524
80-130k,NF_vs_tunnel,1954,108,0,100200.0,0.51675,-0.13586783825065954,-0.2046609911408197,-0.06993191213746763,-0.2076683935915362,-0.2793430437639458,-0.1414770789737767
130-180k,XF_vs_tunnel,1089,66,0,150600.0,0.4862,-0.3394815456960012,-0.40240811719280445,-0.2727422670094159,-0.21261294697365965,-0.29795309354350363,-0.13505286638777828
130-180k,NF_vs_tunnel,1089,66,0,150600.0,0.4862,-0.2818326692805174,-0.35391946177928635,-0.2015153662455504,-0.15923895079325123,-0.24505049343087643,-0.07711820040357628
180-250k,XF_vs_tunnel,2067,109,0,200800.0,0.4511,-0.2777977499849013,-0.34479406875350777,-0.2080351460975477,-0.1783920173130041,-0.24209223607647873,-0.10681358716802843
180-250k,NF_vs_tunnel,2067,109,0,200800.0,0.4511,-0.24367122848201372,-0.30484105054695443,-0.18021538337188714,-0.16876031640237962,-0.23772476552319183,-0.10233544733482655
250-550k,XF_vs_tunnel,2417,106,0,302800.0,0.4411,-0.1645221840728205,-0.2481967064457306,-0.07821631286440742,-0.024107838375851866,-0.10169875628289163,0.0522992613138217
250-550k,NF_vs_tunnel,2417,106,0,302800.0,0.4411,-0.14392957476212018,-0.230066709634712,-0.06297352173412508,-0.03552030200283045,-0.10819328011971761,0.03916799986532717
