alpha,CL,CD,airfoil,Re,source
-5.25,-0.292,0.0472,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-4.24,-0.156,0.0293,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-3.12,-0.001,0.022,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-2.13,0.139,0.0187,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-1.11,0.238,0.0174,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-0.08,0.339,0.0202,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
0.95,0.435,0.0229,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
1.96,0.53,0.0266,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
3.0,0.623,0.029,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
4.0,0.715,0.0317,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
7.07,1.032,0.0218,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
8.11,1.13,0.0215,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
9.17,1.176,0.0269,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
10.11,1.185,0.0363,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
11.14,1.188,0.0526,E387,100029,NREL_SR-500-34515_Selig_McGranahan_2004
-6.21,-0.338,0.0754,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
-3.18,0.034,0.0218,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
-2.1,0.187,0.0197,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
-1.07,0.28,0.0178,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
-0.05,0.381,0.0205,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
0.93,0.474,0.0229,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
1.97,0.583,0.0235,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
3.05,0.688,0.022,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
4.05,0.785,0.0198,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
5.1,0.885,0.019,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
6.06,0.981,0.0186,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
7.14,1.075,0.0193,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
8.13,1.136,0.0253,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
9.15,1.183,0.03,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
10.16,1.22,0.0381,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
11.14,1.228,0.051,E387,100062,NREL_SR-500-34515_Selig_McGranahan_2004
-6.22,-0.346,0.0754,E387,199800,NREL_SR-500-34515_Selig_McGranahan_2004
-5.18,-0.15,0.037,E387,199800,NREL_SR-500-34515_Selig_McGranahan_2004
-4.17,-0.026,0.018,E387,199800,NREL_SR-500-34515_Selig_McGranahan_2004
-3.15,0.062,0.0154,E387,199800,NREL_SR-500-34515_Selig_McGranahan_2004
