label,pitch_in,blades,rpm,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf
DA4002 9x2.85 2b,2.85,2,3216.667,41118.70853844726,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.01017484308912351,0.0013551917854763699,0.1308690609237524,0.5355201570815652,0.1039604269818847,0.04828752279427922,0.039936587166138404,0.4229309461912264,0.04494156625783773,1.2402748953189053,0.02667214713024899,0.026937928362298257,1.3882566569760966,1.3834826787558543,0.25656057698663226
DA4002 9x2.85 2b,2.85,2,3523.333,45047.401404790246,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010140269444211121,0.001330348108420034,0.13042437392437917,0.5427426469475892,0.10205460132513543,0.04666521686875048,0.03835680920029274,0.38876434950077804,0.041105268956789814,1.2396063331356943,0.025106197994007737,0.025484519165511522,1.3892265474031196,1.3823963366106224,0.24600750645257025
DA4002 9x2.85 2b,2.85,2,3700.0,47308.7918079429,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010332617595570722,0.0013447615475056108,0.13289836017835482,0.5522748354532042,0.10316029521855526,0.04618746015142369,0.03764153489135396,0.3718782602107222,0.03910915709529179,1.2385689781898623,0.02420482380442455,0.024647923961639867,1.3858441715441545,1.3780667780426161,0.23463313819667
DA4002 9x2.85 2b,2.85,2,3946.667,50464.53684030074,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010377769743777202,0.0013396696203072875,0.13347910812529748,0.558011743731016,0.10276967971204796,0.045422991533250065,0.03682098830643039,0.3510057536391895,0.036572592708229594,1.2371221094755798,0.023005440280929573,0.02352266520209731,1.3909127442970397,1.3818934802803435,0.22385435417711613
DA4002 9x2.85 2b,2.85,2,4213.333,53874.61315413034,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010322168098414365,0.001323449368344886,0.1327639585106338,0.5603173393854171,0.10152538031631908,0.04463894933738658,0.03610598469054671,0.3310569453086256,0.034121569671715965,1.23559896267232,0.02207545511813406,0.02257090257912768,1.3966410588776215,1.3879316451832187,0.21743779781325945
DA4002 9x2.85 2b,2.85,2,4466.667,57113.88056948254,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010523675685552994,0.00133112832307139,0.1353557536338464,0.5734773391284085,0.1021144537011325,0.043554128506055965,0.034770079726794495,0.3142854755344265,0.032054876614646455,1.2343487751213356,0.021192052414685043,0.0216668132368357,1.3818639329081288,1.3737567234524244,0.20753234871832854
DA4002 9x2.85 2b,2.85,2,4723.333,60395.52803778361,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.01055760429977672,0.001328951934833397,0.1357921442339776,0.5771966465546683,0.10194749707335117,0.04310374363797101,0.034277180622663994,0.29850025393235785,0.030149481847094622,1.23347188710007,0.020333255718421157,0.02077953118201586,1.3869652527273857,1.3793811773151197,0.19944830723790494
DA4002 9x2.85 2b,2.85,2,4960.0,63421.48501706745,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010583921551874213,0.001327678953033816,0.13613063732305275,0.579911671753701,0.10184984319672434,0.04278593036065962,0.033926343435249924,0.2857288462201947,0.02861935336541127,1.233012332344723,0.019784694439301878,0.020154052571708016,1.3894295995119557,1.3831760664378547,0.19425355816294654
DA4002 9x2.85 2b,2.85,2,5203.333,66532.66628281632,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.01060727166280385,0.001328130656253022,0.13643096697561452,0.5816339366620477,0.10188449457230159,0.04262501490939079,0.033736092959954174,0.2718191232386144,0.027045317204878048,1.2335561225426914,0.019220683256593304,0.019510957726725467,1.3949466277113758,1.3900482642464358,0.18865170149078464
DA4002 9x2.85 2b,2.85,2,5440.0,69558.67147707293,0.07774827004414459,0.009718533755518073,0.013035650437570006,0.010778978832126203,0.001344268780357386,0.13863946845384498,0.5886610736004634,0.10312249371792552,0.04241829585357444,0.033312666173921784,0.26080196526151717,0.025765892020995378,1.2333843019258035,0.01867211323681204,0.018885469150170787,1.391178591467848,1.3876639100971213,0.18106731677655613
