V,mu,tilt_deg,reverse_flow_frac,collective_deg,P_induced,P_profile,P_propulsive,P_shaft,profile_frac,induced_frac,propulsive_frac,dP_pct,e_test_pct,law_coeff
0,0.0,0.0,0.0,2.2195119155997927,172.759064856791,118.72279948867308,0.0,291.4818643454641,0.40730767162914433,0.5926923283708557,0.0,4.470467601396663,11.700000000000001,0.9380899860155758
2,0.019998520556932204,0.04556434374681209,0.0,2.022138771134063,163.9489476610481,119.86826432111734,0.061250000000000006,283.87846198216545,0.42225205633475643,0.5775321823159241,0.00021576134931944224,4.640578710626829,11.700000000000001,0.9393220307102306
4,0.03999685140356004,0.1822567986753807,0.0,1.5024218794844668,140.8069074722692,123.32598555725649,0.49000000000000005,264.6228930295257,0.46604427963644174,0.5321040287189304,0.001851691644627767,5.141517602627908,11.700000000000001,0.9429274602090713
6,0.05999404403515046,0.4100721781494629,0.0,0.882699088244227,113.01004857398652,128.72043614140625,1.65375,243.38423471539278,0.5288774611549043,0.46432772733261685,0.006794811512478828,5.869333258172255,11.700000000000001,0.9485229605605513
8,0.07998763281153665,0.7289903143104743,0.0,0.3779092693005526,89.49933187149155,134.78518121351755,3.9200000000000004,228.2045130850091,0.5906332849925204,0.3921891406159523,0.017177574391527263,6.595786762790692,11.700000000000001,0.954471196734735
10,0.09997287861024749,1.1389587872010811,0.0,0.04329183857483925,72.0712025601913,140.06574675214802,7.656250000000001,219.7931993123393,0.6372615130512123,0.32790460662876925,0.0348338803200185,7.151824711554846,11.700000000000001,0.9592091423141361
12,0.11994201818332466,1.6398687979293969,0.0,-0.14646406870492817,59.117532686451185,144.08638842618294,13.23,216.43392111263412,0.6657292335945765,0.2731435644770576,0.0611272019283659,7.494129624463459,11.700000000000001,0.9621387603309981
14,0.13988352615653182,2.2315242934776,0.0,-0.21937700904011784,48.913961061036616,146.9804525529085,21.008750000000006,216.90316361394514,0.6776316679940708,0.22551059305015983,0.09685773895576925,7.638009085648429,11.700000000000001,0.9633866305335845
16,0.1597814008430468,2.9136045595933653,0.0,-0.19299225685930527,40.16531287844845,148.85103855664732,31.360000000000003,220.37635143509578,0.6754401621922044,0.182257817669142,0.1423020201386536,7.611598939535254,11.700000000000001,0.9631704603034317
18,0.17961449016233044,3.6856206635171134,0.005787037037037037,-0.07616809529477037,31.87809179035453,149.92223803959644,44.651250000000005,226.45157982995096,0.662049865813157,0.1407722207736096,0.1971779134132335,7.449830594873984,11.700000000000001,0.961766916000307
20,0.19935587974174254,4.546866358929106,0.008101851851851851,0.12833133156354204,23.12361949305214,150.50111038198816,61.25000000000001,234.87472987504032,0.6407718295708474,0.09845086146710856,0.260777308962044,7.194364909915891,11.700000000000001,0.9596286156420484
