cor_name,x,y
AQUILA,1.0,0.0
AQUILA,0.98,0.0034
AQUILA,0.92667,0.0124
AQUILA,0.87333,0.0215
AQUILA,0.82,0.03065
AQUILA,0.76,0.04077
AQUILA,0.70667,0.04945
AQUILA,0.65333,0.05768
AQUILA,0.6,0.0653
AQUILA,0.54667,0.07214
AQUILA,0.49333,0.07799
AQUILA,0.44,0.08263
AQUILA,0.39333,0.08551
AQUILA,0.34667,0.0871
AQUILA,0.31333,0.08735
AQUILA,0.27333,0.08655
AQUILA,0.23333,0.08438
AQUILA,0.19333,0.08055
AQUILA,0.16,0.07577
AQUILA,0.12667,0.06914
AQUILA,0.09333,0.06012
AQUILA,0.06,0.04786
AQUILA,0.04667,0.04171
AQUILA,0.03333,0.03454
AQUILA,0.02667,0.03045
AQUILA,0.02,0.02587
AQUILA,0.01333,0.02052
AQUILA,0.01,0.01739
AQUILA,0.00667,0.01377
AQUILA,0.00333,0.00929
AQUILA,0.0,0.0
AQUILA,0.00667,-0.00725
AQUILA,0.01,-0.0081
AQUILA,0.01333,-0.00862
AQUILA,0.02,-0.00917
AQUILA,0.02667,-0.0094
AQUILA,0.03333,-0.00947
AQUILA,0.04667,-0.00939
AQUILA,0.06,-0.0092
AQUILA,0.09333,-0.00866
AQUILA,0.12667,-0.00821
AQUILA,0.16,-0.00787
AQUILA,0.19333,-0.00758
AQUILA,0.23333,-0.00724
AQUILA,0.27333,-0.00688
AQUILA,0.31333,-0.0065
AQUILA,0.34667,-0.00618
AQUILA,0.39333,-0.00574
AQUILA,0.44,-0.0053
AQUILA,0.49333,-0.0048
AQUILA,0.54667,-0.0043
AQUILA,0.6,-0.0038
AQUILA,0.65333,-0.0033
AQUILA,0.70667,-0.00279
AQUILA,0.76,-0.00229
AQUILA,0.82,-0.00173
AQUILA,0.87333,-0.00122
AQUILA,0.92667,-0.0007
AQUILA,0.98,-0.00019
AQUILA,1.0,0.0
CLARK-Y,1.0,0.0
CLARK-Y,0.99572,0.00115
CLARK-Y,0.98296,0.00448
CLARK-Y,0.96194,0.00972
CLARK-Y,0.93301,0.01656
CLARK-Y,0.89668,0.02475
CLARK-Y,0.85355,0.034
CLARK-Y,0.80438,0.04394
CLARK-Y,0.75,0.05412
CLARK-Y,0.69134,0.06405
CLARK-Y,0.62941,0.07319
CLARK-Y,0.56526,0.08105
CLARK-Y,0.5,0.08719
CLARK-Y,0.43474,0.09128
CLARK-Y,0.37059,0.09312
CLARK-Y,0.33928,0.09318
CLARK-Y,0.30866,0.09266
CLARK-Y,0.27886,0.09158
CLARK-Y,0.25,0.08996
CLARK-Y,0.22221,0.08774
CLARK-Y,0.19562,0.08483
CLARK-Y,0.17033,0.08113
CLARK-Y,0.14645,0.0766
CLARK-Y,0.12408,0.07134
CLARK-Y,0.10332,0.06552
CLARK-Y,0.08427,0.05939
CLARK-Y,0.06699,0.05313
CLARK-Y,0.05156,0.04677
CLARK-Y,0.03806,0.04027
CLARK-Y,0.02653,0.03352
CLARK-Y,0.01704,0.02652
CLARK-Y,0.00961,0.01943
CLARK-Y,0.00428,0.01254
CLARK-Y,0.00107,0.00616
CLARK-Y,0.0,0.00047
CLARK-Y,0.00107,-0.00453
CLARK-Y,0.00428,-0.00898
CLARK-Y,0.00961,-0.01296
CLARK-Y,0.01704,-0.01651
CLARK-Y,0.02653,-0.01959
CLARK-Y,0.03806,-0.02214
CLARK-Y,0.05156,-0.02414
CLARK-Y,0.06699,-0.02567
CLARK-Y,0.08427,-0.0268
CLARK-Y,0.10332,-0.02763
CLARK-Y,0.12408,-0.02816
CLARK-Y,0.14645,-0.02839
CLARK-Y,0.17033,-0.02832
CLARK-Y,0.19562,-0.02795
CLARK-Y,0.22221,-0.02734
CLARK-Y,0.25,-0.02653
CLARK-Y,0.27886,-0.02559
CLARK-Y,0.30866,-0.02458
CLARK-Y,0.33928,-0.02351
CLARK-Y,0.37059,-0.02242
CLARK-Y,0.43474,-0.02018
CLARK-Y,0.5,-0.01792
CLARK-Y,0.56526,-0.01566
CLARK-Y,0.62941,-0.01345
CLARK-Y,0.69134,-0.01131
CLARK-Y,0.75,-0.00928
CLARK-Y,0.80438,-0.00741
CLARK-Y,0.85355,-0.00575
CLARK-Y,0.89668,-0.00429
CLARK-Y,0.93301,-0.00302
CLARK-Y,0.96194,-0.0019
CLARK-Y,0.98296,-0.00094
CLARK-Y,0.99572,-0.00025
CLARK-Y,1.0,0.0
DAE51,1.0,0.0
DAE51,0.98041,0.00369
DAE51,0.96487,0.00662
DAE51,0.94717,0.01002
DAE51,0.91022,0.01729
DAE51,0.85441,0.02852
DAE51,0.81719,0.03593
DAE51,0.77994,0.04313
DAE51,0.74265,0.05003
DAE51,0.7053,0.05646
DAE51,0.64912,0.06508
DAE51,0.61157,0.07004
DAE51,0.5551,0.0762
DAE51,0.49848,0.08088
DAE51,0.46067,0.08312
DAE51,0.40392,0.08504
DAE51,0.34716,0.08505
DAE51,0.30935,0.08389
DAE51,0.25275,0.08023
DAE51,0.21516,0.07637
DAE51,0.17776,0.0712
DAE51,0.12227,0.06051
DAE51,0.10405,0.05598
DAE51,0.0684,0.04508
DAE51,0.05141,0.0386
DAE51,0.03581,0.03155
DAE51,0.02301,0.02458
DAE51,0.01389,0.01847
DAE51,0.00795,0.01353
DAE51,0.00414,0.00948
DAE51,0.0,-9e-05
DAE51,0.00505,-0.00802
DAE51,0.00955,-0.00991
DAE51,0.01608,-0.01157
DAE51,0.02576,-0.01315
DAE51,0.03952,-0.01449
DAE51,0.05638,-0.01544
DAE51,0.07466,-0.01597
DAE51,0.09341,-0.01617
DAE51,0.13122,-0.01593
DAE51,0.15017,-0.01559
DAE51,0.18808,-0.0146
DAE51,0.20704,-0.01399
DAE51,0.24496,-0.01261
DAE51,0.30186,-0.01026
DAE51,0.35876,-0.00777
DAE51,0.3967,-0.00613
DAE51,0.4536,-0.00376
DAE51,0.5105,-0.00155
DAE51,0.54844,-0.00021
DAE51,0.60534,0.00158
DAE51,0.64328,0.00257
DAE51,0.70019,0.00369
DAE51,0.75709,0.00426
DAE51,0.79502,0.00428
DAE51,0.85191,0.00372
DAE51,0.90873,0.00226
DAE51,0.92758,0.00155
DAE51,0.94633,0.00075
DAE51,0.96431,-0.00012
DAE51,1.0,-0.002
DF101,1.0,0.0
DF101,0.9968,0.00043
DF101,0.98727,0.00187
DF101,0.97163,0.00435
DF101,0.9503,0.00793
DF101,0.92375,0.01258
DF101,0.89245,0.01818
DF101,0.85697,0.0245
DF101,0.81783,0.03123
DF101,0.77558,0.03809
DF101,0.73072,0.04484
DF101,0.68375,0.05129
DF101,0.63525,0.05731
DF101,0.58567,0.06279
DF101,0.53552,0.06757
DF101,0.4852,0.07149
DF101,0.43513,0.07436
DF101,0.38578,0.07605
DF101,0.33765,0.07652
DF101,0.29125,0.0758
DF101,0.24708,0.07397
DF101,0.20557,0.07109
DF101,0.16715,0.06717
DF101,0.13208,0.06211
DF101,0.10063,0.05581
DF101,0.07308,0.04827
DF101,0.04975,0.0397
DF101,0.03082,0.03046
DF101,0.01637,0.02109
DF101,0.00647,0.01226
DF101,0.00107,0.00454
DF101,0.0,-0.00069
DF101,0.00478,-0.00767
DF101,0.01512,-0.0135
DF101,0.02987,-0.01893
DF101,0.04877,-0.02398
DF101,0.07192,-0.02849
DF101,0.0994,-0.03216
DF101,0.13128,-0.03475
DF101,0.16755,-0.03611
DF101,0.20782,-0.03629
DF101,0.25158,-0.03547
DF101,0.29833,-0.03397
DF101,0.34758,-0.03205
