airfoil_label,model,family,asb_name,builder,config,xtr_upper,xtr_lower,Re,alpha,CL,CD,datafile,fig,dap_name,cor_name,geom_source
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,-1.86,0.261,0.0238,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,-0.83,0.352,0.0224,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,0.18,0.445,0.0213,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,1.2,0.525,0.0224,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,2.23,0.607,0.0298,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,3.23,0.686,0.0291,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,4.26,0.764,0.0354,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,5.27,0.839,0.0358,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,6.28,0.911,0.0404,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,7.3,0.989,0.0373,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,8.33,1.061,0.0383,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,9.34,1.12,0.0422,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,59400,10.34,1.148,0.0507,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,-1.86,0.251,0.0196,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,-0.84,0.34,0.0179,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,0.18,0.45,0.0152,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,1.21,0.538,0.0153,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,2.22,0.625,0.0166,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,3.24,0.726,0.0184,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,4.27,0.815,0.0197,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,5.28,0.899,0.0206,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,6.29,0.984,0.0215,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,7.33,1.069,0.0239,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,8.33,1.146,0.0251,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,9.35,1.215,0.0285,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,10.36,1.241,0.0359,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,11.36,1.28,0.0385,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,12.37,1.298,0.0471,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,101100,13.37,1.295,0.0573,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,1.19,0.537,0.0128,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,3.24,0.732,0.0154,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,5.28,0.916,0.0176,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,7.32,1.087,0.0214,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,8.34,1.159,0.0221,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,9.36,1.217,0.0245,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,150500,11.37,1.292,0.0346,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,-1.89,0.235,0.0162,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,-0.85,0.336,0.0141,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,0.17,0.439,0.0128,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,1.19,0.541,0.0113,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,2.22,0.641,0.0124,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,3.26,0.741,0.013,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,4.26,0.833,0.0138,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,5.28,0.921,0.015,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,6.31,1.006,0.017,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,7.32,1.085,0.0182,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,8.34,1.156,0.0193,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,9.35,1.216,0.0222,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,10.37,1.268,0.0265,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,11.35,1.302,0.0314,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,12.37,1.312,0.0356,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,13.38,1.305,0.0475,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,203900,14.36,1.292,0.067,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,-3.93,0.041,0.0254,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,-2.91,0.143,0.0187,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,-1.87,0.248,0.0143,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,-0.89,0.346,0.0122,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,0.14,0.448,0.0113,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,1.13,0.545,0.0091,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,2.18,0.646,0.0099,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,3.21,0.742,0.0111,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,4.23,0.834,0.0119,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,5.28,0.925,0.0131,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,6.3,1.01,0.0139,PDAQ,12.1,AQUILA,AQUILA,measured
AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,,,301100,7.32,1.088,0.0152,PDAQ,12.1,AQUILA,AQUILA,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,-3.95,-0.21,0.0282,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,-2.92,-0.1,0.0269,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,-1.9,0.006,0.0223,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,-0.88,0.113,0.0252,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,0.15,0.245,0.0278,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,1.18,0.365,0.0313,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,2.2,0.522,0.0324,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,3.24,0.646,0.0303,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,4.26,0.744,0.0284,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,5.28,0.836,0.0271,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,6.29,0.918,0.0266,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,7.32,1.005,0.0283,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,8.33,1.079,0.0305,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,9.34,1.152,0.0326,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,10.35,1.172,0.0332,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,61300,11.34,1.172,0.0364,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,-3.94,-0.137,0.0228,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,-2.92,0.002,0.0208,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,-1.87,0.137,0.0198,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,-0.85,0.287,0.0189,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,0.17,0.399,0.0192,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,1.2,0.501,0.0179,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,2.21,0.595,0.0184,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,3.25,0.691,0.0179,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,4.25,0.782,0.0186,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,5.28,0.876,0.019,PDCL,12.3,CLARK-Y,CLARK-Y,measured
CLARK-Y,CLARK-Y,CLARK-Y,clarky,WATSON/BOREN,clean,,,102600,6.29,0.963,0.0209,PDCL,12.3,CLARK-Y,CLARK-Y,measured
