file,airfoil_label,model,family,asb_name,builder,config,Re_nom,Re,alpha,CL,dap_name,cor_name
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-7.11,-0.38,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-6.7,-0.35,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-6.27,-0.29,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-5.87,-0.27,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-5.47,-0.24,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-5.06,-0.19,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-4.63,-0.14,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-4.25,-0.08,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-3.82,-0.03,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-3.4,0.03,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-3.0,0.09,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-2.61,0.13,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-2.17,0.18,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-1.78,0.2,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-1.37,0.26,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-0.95,0.31,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-0.56,0.33,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,-0.14,0.37,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,0.26,0.4,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,0.68,0.44,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,1.08,0.47,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,1.49,0.5,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,1.89,0.54,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,2.3,0.58,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,2.71,0.61,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,3.12,0.64,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,3.52,0.7,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,3.94,0.73,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,4.34,0.75,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,4.74,0.8,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,5.15,0.81,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,5.55,0.86,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,5.96,0.9,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,6.37,0.94,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,6.79,0.98,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,7.2,1.01,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,7.59,1.04,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,8.01,1.06,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,8.4,1.08,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,8.81,1.12,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,9.22,1.12,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,9.63,1.13,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,10.02,1.13,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,10.41,1.1,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,10.76,0.88,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,11.16,0.88,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,11.58,0.92,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,11.98,0.89,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,12.4,0.99,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,12.76,0.88,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,13.16,0.91,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,13.57,0.9,AQUILA,AQUILA
AQUILA.06,AQUILA,AQUILA,AQUILA,,OSTRANDER,clean,60000,59343,13.95,0.79,AQUILA,AQUILA
