model,n,abs_dCL_design,abs_dCL_measured,abs_errCD_design,abs_errCD_measured,bias_CD_design,bias_CD_measured,geom_effect_CL,geom_effect_CD,build_rms_pct,build_max_pct
AQUILA,65,0.0645292185033065,0.06025009771189364,0.11833470881663041,0.1375117750504871,-0.05384982040876376,-0.01614510860520912,0.035451265461410565,0.08522940057286486,0.22277800214741006,0.40856726971239266
CLARK-Y,62,0.08829542996667815,0.07180606760437426,0.08995029278893675,0.0830615421697049,0.01679917720402293,0.008127856797977565,0.020197586207272678,0.03215172524635521,0.21396000554073957,0.40333580721845924
DAE51,70,0.08684631042194282,0.07971071336488937,0.16539057839009175,0.16379117146493305,-0.05676324234459747,-0.04096931725138362,0.016661804106816648,0.03375531526791409,0.17700306251087716,0.35482402645398425
DF101,94,0.09842012800525707,0.09146419044754198,0.12020692883888034,0.09785881962191557,0.06214310215485783,0.049740523152020315,0.02377541806097678,0.039180358385839685,0.2554410158089121,0.4744402335344631
DF102,83,0.12285156641266232,0.11194649549649685,0.0756861760082369,0.06563379677818675,0.004374156639464136,0.014702843324686545,0.020756810851264025,0.05020012796552415,0.2395119991641432,0.4745332572011582
E193,61,0.10142268459434904,0.05449245134590693,0.1402639979998348,0.09201305025833485,0.10101506512565621,0.05244638004384656,0.06455921686025778,0.055848133239079015,0.6407478502979309,1.0665682333680795
E193 MODIFIED,57,0.09457223677090577,0.07747465758235084,0.10730664056652323,0.07710435232070476,0.014649543372482718,0.004912034881914492,0.021376594475907135,0.08291160264275863,0.24998971300712955,0.4698230772966432
E205A,72,0.1010161446937788,0.10340852240435794,0.1061465622955594,0.07731614559678583,0.04324390171599023,0.02062214196999155,0.024150532253735486,0.04815577305554031,0.1793217470608232,0.3472698467511222
E205B,85,0.05868349315144183,0.06549864641381051,0.22756266029033456,0.17868793761428947,0.01126964695476763,0.002442269106779679,0.020331923763729137,0.07257116106336221,0.12887094252541403,0.2636085968663042
E214A,68,0.0948323613776973,0.050757755758620855,0.07814593853043482,0.08645160803682413,0.001660773779493152,0.02371877781090087,0.04732834807620056,0.04413254768523029,0.2928720225249489,0.5377945629762605
E214C F0,85,0.09204766811314002,0.08666352579972587,0.08668319402895573,0.10591337243760125,0.04845436362182211,0.0670367344745222,0.02707650863000648,0.05368224326692839,0.1051434453724619,0.20874733978389956
E374A,86,0.07560460450781184,0.0585998829060429,0.12218726574790244,0.1036425493628962,0.04016681247332588,0.0248622723956197,0.04056800784024715,0.04593014437044413,0.17007456038339808,0.4119937596802308
E374B,92,0.08205198572330945,0.06510332941857998,0.14496996306401394,0.10635999940068179,-0.007925059352793784,0.0016632255295852705,0.030357398652468944,0.08883118152012714,0.12995313366978792,0.2735798504104322
E387A,73,0.11515203324665234,0.08620795437746266,0.09372758978314234,0.08550699446375025,0.0733454544854764,0.04490128876493124,0.032751603309433795,0.058241098780731124,0.27180122719843036,0.43696444500844756
E387A REPEAT,59,0.13315419235319956,0.09811370932508355,0.05996678932433168,0.08562765628134131,0.03107934944020743,0.017604726665336603,0.03506047930231879,0.04666806191662442,0.27180122719843036,0.43696444500844756
E387B,30,0.08657248277285563,0.05300285941171601,0.13411929587963434,0.07983765828167916,0.02623228977531287,-0.026299417614431567,0.11557848949045217,0.11397071475619017,0.6787920084932494,0.8958603262054874
J5012,83,0.12822251333365142,0.0969479523907303,0.10051521942895421,0.07962448214323013,0.02869617338626737,0.023790577490538003,0.03761490778560237,0.0566576724445714,0.14070548394442517,0.281614834054137
MB253515,132,0.07786101311388643,0.07230064974744448,0.12344545133995886,0.11808515557553961,-0.06765444680321413,-0.06183197597070245,0.01544341381959467,0.02089268655429347,0.09647058421442199,0.26453803018561606
MILEY,69,0.03742768361276245,0.0634399341638887,0.15407984414384418,0.17427222640277265,-0.04460536994573473,-0.11930574490189624,0.0720932678236385,0.07874593547851258,0.2712677909217772,0.47857669677544395
NACA 0009,80,0.09410041055578092,0.07659521256054247,0.14196979875099927,0.13073668746166417,0.050823657135968835,0.028966123021238986,0.03466739081732528,0.11011400440369468,0.19623088975244452,0.36463352353768713
NACA 2.5411,55,0.1279920369178354,0.09515344452317018,0.1170513226725736,0.09638507753948321,0.02164084951297818,0.03872750920770596,0.0377249493699358,0.053243975277515454,0.254589891224376,0.31513517525712137
NACA 6409,74,0.12655833804718997,0.12543758205113825,0.2667908519130696,0.24531981037298423,0.22087686981185814,0.211813327062482,0.04142790416979698,0.07158506979479393,0.13633502374939482,0.3378780587769288
RG15,70,0.0717225331087872,0.08939542062729681,0.1579119684382125,0.10033645071903782,0.13178768023321247,0.0811535251511277,0.05683134689152199,0.05726980774048324,0.23652893775762576,0.4304041337035859
S2048,62,0.07926380996535258,0.08016844974116821,0.11451342574794349,0.10927411309196515,0.014669863624748609,0.029728133431823987,0.012534606147255878,0.023524110808503893,0.22652888799952323,0.34970301574914275
S2055 REPEAT,55,0.06817162934346782,0.0660367117565629,0.11827214325758961,0.10884938314742065,0.0499850420093523,0.05304549888027428,0.027127907782560932,0.03287596454387742,0.22510650376184171,0.4515936951167733
S2091B,73,0.05140341680796757,0.06855572355697591,0.10962297433073942,0.12767220252400086,-0.04496294373078212,-0.058139931118609024,0.0274016172425428,0.04964962783826591,0.3805136313281407,0.6504868726970733
