dap_name,chord_in,x,y
AQUILA,11.99,1.0,0.0
AQUILA,11.99,0.99746,0.00123
AQUILA,11.99,0.98829,0.00238
AQUILA,11.99,0.974,0.00453
AQUILA,11.99,0.94486,0.00884
AQUILA,11.99,0.9004,0.0157
AQUILA,11.99,0.86567,0.02142
AQUILA,11.99,0.83894,0.02575
AQUILA,11.99,0.82217,0.02951
AQUILA,11.99,0.80749,0.03199
AQUILA,11.99,0.7659,0.03831
AQUILA,11.99,0.69655,0.04901
AQUILA,11.99,0.62461,0.0608
AQUILA,11.99,0.54502,0.0719
AQUILA,11.99,0.49234,0.07805
AQUILA,11.99,0.39368,0.08685
AQUILA,11.99,0.31264,0.08876
AQUILA,11.99,0.23528,0.08634
AQUILA,11.99,0.14185,0.0743
AQUILA,11.99,0.07922,0.05817
AQUILA,11.99,0.04595,0.04561
AQUILA,11.99,0.02491,0.03337
AQUILA,11.99,0.01583,0.02617
AQUILA,11.99,0.00659,0.01576
AQUILA,11.99,0.00169,0.00753
AQUILA,11.99,0.0,-0.0
AQUILA,11.99,0.00106,-0.00259
AQUILA,11.99,0.00435,-0.00553
AQUILA,11.99,0.01274,-0.00714
AQUILA,11.99,0.05262,-0.00657
AQUILA,11.99,0.13491,-0.00665
AQUILA,11.99,0.24506,-0.00748
AQUILA,11.99,0.3854,-0.00767
AQUILA,11.99,0.53849,-0.00721
AQUILA,11.99,0.70417,-0.00651
AQUILA,11.99,0.79285,-0.00587
AQUILA,11.99,0.83603,-0.00546
AQUILA,11.99,0.88509,-0.00464
AQUILA,11.99,0.9419,-0.00375
AQUILA,11.99,0.978,-0.00237
AQUILA,11.99,0.9974,-0.00083
AQUILA,11.99,1.0,0.0
CLARK-Y,11.988,1.0,0.0
CLARK-Y,11.988,0.99331,0.00318
CLARK-Y,11.988,0.98501,0.00568
CLARK-Y,11.988,0.96357,0.01071
CLARK-Y,11.988,0.93418,0.01676
CLARK-Y,11.988,0.88972,0.0259
CLARK-Y,11.988,0.82686,0.03854
CLARK-Y,11.988,0.74751,0.0534
CLARK-Y,11.988,0.65555,0.06802
CLARK-Y,11.988,0.59641,0.07581
CLARK-Y,11.988,0.49368,0.08578
CLARK-Y,11.988,0.40164,0.09016
CLARK-Y,11.988,0.31229,0.09013
CLARK-Y,11.988,0.23278,0.08569
CLARK-Y,11.988,0.16999,0.07741
CLARK-Y,11.988,0.11136,0.06409
CLARK-Y,11.988,0.06646,0.04852
CLARK-Y,11.988,0.03795,0.03506
CLARK-Y,11.988,0.02528,0.02806
CLARK-Y,11.988,0.01684,0.02286
CLARK-Y,11.988,0.0067,0.01362
CLARK-Y,11.988,0.00382,0.00999
CLARK-Y,11.988,0.0,0.0
CLARK-Y,11.988,0.00066,-0.00621
CLARK-Y,11.988,0.00347,-0.01067
CLARK-Y,11.988,0.00625,-0.01289
CLARK-Y,11.988,0.01978,-0.01848
CLARK-Y,11.988,0.04312,-0.02394
CLARK-Y,11.988,0.08548,-0.02908
CLARK-Y,11.988,0.14826,-0.03144
CLARK-Y,11.988,0.24816,-0.02951
CLARK-Y,11.988,0.31864,-0.0269
CLARK-Y,11.988,0.37724,-0.02485
CLARK-Y,11.988,0.45718,-0.02187
CLARK-Y,11.988,0.54165,-0.01896
CLARK-Y,11.988,0.62167,-0.01618
CLARK-Y,11.988,0.70704,-0.01307
CLARK-Y,11.988,0.7806,-0.01024
CLARK-Y,11.988,0.84337,-0.00792
CLARK-Y,11.988,0.90607,-0.00552
CLARK-Y,11.988,0.94727,-0.00385
CLARK-Y,11.988,0.96663,-0.00314
CLARK-Y,11.988,0.98544,-0.00229
CLARK-Y,11.988,1.0,0.0
DAE51,11.986,1.0,0.0
DAE51,11.986,0.99975,0.00067
DAE51,11.986,0.9943,0.00208
DAE51,11.986,0.98966,0.00322
DAE51,11.986,0.97928,0.00553
DAE51,11.986,0.95178,0.01143
DAE51,11.986,0.92545,0.01685
DAE51,11.986,0.89329,0.02329
DAE51,11.986,0.84249,0.03356
DAE51,11.986,0.7909,0.04364
DAE51,11.986,0.73471,0.05409
DAE51,11.986,0.6616,0.06607
DAE51,11.986,0.59105,0.0752
DAE51,11.986,0.52542,0.08215
DAE51,11.986,0.45825,0.08683
DAE51,11.986,0.389,0.08866
DAE51,11.986,0.32284,0.08807
DAE51,11.986,0.25556,0.08444
DAE51,11.986,0.19912,0.07759
DAE51,11.986,0.14456,0.06774
DAE51,11.986,0.09622,0.05531
DAE51,11.986,0.05931,0.04165
DAE51,11.986,0.03216,0.02863
