volume,file,airfoil_label,asb_name,builder,config,comment,xtr_upper,xtr_lower,Re,alpha,CL,CD,run_file
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,-1.16,0.117,0.0244,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,0.93,0.324,0.0202,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,2.82,0.54,0.0349,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,5.05,0.842,0.0405,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,7.04,1.007,0.0314,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,9.08,1.108,0.0283,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,40000,11.1,1.155,0.0572,MS00278.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,-2.07,0.027,0.0229,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,-0.17,0.216,0.0182,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,1.14,0.407,0.0201,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,2.44,0.591,0.0214,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,4.17,0.81,0.0231,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,6.02,0.967,0.0207,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,7.62,1.057,0.0243,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,9.15,1.141,0.0318,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,60700,10.41,1.186,0.0395,JG00161.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,-1.53,0.084,0.0183,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,-0.37,0.266,0.0141,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,1.1,0.468,0.0147,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,2.82,0.653,0.0161,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,4.38,0.787,0.0153,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,5.94,0.92,0.0165,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,7.6,1.024,0.024,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,9.01,1.105,0.03,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,100700,10.18,1.145,0.0366,MS00163.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,-1.55,0.199,0.0126,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,0.17,0.385,0.0093,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,1.53,0.525,0.0089,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,2.93,0.673,0.01,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,4.38,0.809,0.0117,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,5.59,0.906,0.014,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,7.5,1.045,0.0196,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,8.93,1.135,0.0249,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,201800,10.22,1.191,0.0316,MS00165.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,204500,-5.29,-0.375,0.0685,AB00521.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,204500,-3.39,-0.093,0.0178,AB00521.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,-2.37,0.122,0.0108,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,-0.45,0.327,0.01,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,0.94,0.474,0.008,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,2.39,0.622,0.0082,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,4.28,0.792,0.0099,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,5.81,0.914,0.0139,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,7.94,1.077,0.0194,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,9.31,1.156,0.0234,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,300400,10.27,1.192,0.0295,MS00167.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,305600,-5.35,-0.332,0.0623,AB00522.DAT
vol1,A18.DRG,A18,a18,R. Cooney,clean,clean,,,305600,-3.58,-0.057,0.0137,AB00522.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,-1.74,0.032,0.0206,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,-0.12,0.188,0.0158,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,1.36,0.436,0.014,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,2.99,0.619,0.018,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,4.52,0.762,0.0227,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,5.79,0.868,0.0189,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,7.47,1.001,0.0276,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,9.05,1.12,0.029,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,60300,10.53,1.207,0.0347,JG00570.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,-3.48,-0.129,0.0272,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,-1.75,0.019,0.0174,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,-0.28,0.235,0.0125,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,1.42,0.462,0.0123,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,3.46,0.653,0.0146,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,4.3,0.73,0.0159,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,5.99,0.879,0.0193,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,7.32,0.995,0.0225,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,9.23,1.146,0.0271,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,101000,10.39,1.199,0.033,JG00572.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,-5.41,-0.365,0.0707,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,-3.12,-0.09,0.0186,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,-1.73,0.1,0.0124,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,-0.44,0.244,0.0099,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,1.28,0.434,0.0087,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,2.81,0.589,0.0098,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,4.38,0.739,0.012,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,5.72,0.865,0.0147,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,7.57,1.031,0.0174,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,8.84,1.13,0.0204,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,201700,10.39,1.209,0.0301,JG00574.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,-5.1,-0.32,0.0618,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,-3.45,-0.088,0.017,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,-2.18,0.068,0.0117,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,-0.34,0.261,0.0091,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,1.24,0.427,0.0076,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,2.9,0.595,0.0087,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,4.34,0.736,0.0105,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,6.22,0.924,0.0133,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,7.75,1.061,0.0158,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,9.19,1.158,0.0204,JG00576.DAT
vol1,BE50.DRG,BE50,be50,R. Cooney,clean,clean,,,302700,10.5,1.222,0.0276,JG00576.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-6.39,-0.426,0.0342,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-5.3,-0.372,0.0289,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-4.27,-0.314,0.0224,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-3.27,-0.23,0.0166,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-2.31,-0.155,0.0166,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-1.2,-0.015,0.0187,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,-0.18,0.104,0.0216,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,0.9,0.253,0.0253,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,1.86,0.361,0.0275,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,2.98,0.426,0.0316,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,3.92,0.519,0.0337,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,4.95,0.669,0.0331,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,6.02,0.789,0.0324,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,7.01,0.887,0.0277,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,8.0,0.958,0.0266,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,9.0,0.987,0.029,JG00069.DAT
vol1,E374B.DRG,E374 (B),e374,M. Bame,clean,clean,,,61200,10.01,1.025,0.0364,JG00069.DAT
