tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-6.39,-0.426,0.0342,-0.5006329364609207,0.0620130012091484,0.2897318421383255,-0.0746329364609206,0.8132456493903052,,,False,0.813245649390304,,,-0.07463293646092067,,
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-5.3,-0.372,0.0289,-0.5130090161920058,0.0410727594755254,0.7611974588548732,-0.1410090161920058,0.4212027500181816,-0.5344,0.04577,True,0.4212027500181799,0.5837370242214533,-0.10262705974381912,-0.1410090161920058,-0.1624,0.0213909838079942
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-4.27,-0.314,0.0224,-0.463488868232646,0.031821903795521,0.9470531449332912,-0.149488868232646,0.4206207051571907,-0.4893,0.03466,True,0.4206207051571876,0.5473214285714287,-0.08188390664971151,-0.149488868232646,-0.1753,0.025811131767354
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-3.27,-0.23,0.0166,-0.3895236350403366,0.0254556921693718,0.9525096289469246,-0.1595236350403366,0.5334754318898679,-0.4153,0.02795,True,0.5334754318898675,0.6837349397590361,-0.08924178284895168,-0.1595236350403366,-0.1853,0.0257763649596634
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-2.31,-0.155,0.0166,-0.1616566026828156,0.0227450791168493,0.94011992640947,-0.0066566026828156,0.3701854889668292,-0.191,0.02174,True,0.37018548896682524,0.30963855421686737,0.04623179010346367,-0.006656602682815593,-0.036000000000000004,0.02934339731718441
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-1.2,-0.015,0.0187,-0.0312322333849398,0.0228119512668709,0.9518319306657594,-0.0162322333849398,0.2198904420786584,-0.0309,0.02345,True,0.2198904420786577,0.2540106951871656,-0.02720890119953509,-0.0162322333849398,-0.0159,-0.0003322333849398
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,-0.18,0.104,0.0216,0.0872706541090219,0.0238628378950002,0.9569634361751048,-0.016729345890978,0.1047610136574195,0.0936,0.02533,True,0.10476101365741662,0.17268518518518505,-0.057921914923008216,-0.01672934589097809,-0.010399999999999993,-0.006329345890978097
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,0.9,0.253,0.0253,0.2265838190850639,0.0259161976140487,0.9569536421660116,-0.0264161809149361,0.024355636918924,0.1951,0.02769,True,0.024355636918920936,0.09446640316205533,-0.06405931332435176,-0.02641618091493611,-0.05790000000000001,0.0314838190850639
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,1.86,0.361,0.0275,0.3348839180277067,0.028605195748638,0.9549196312627451,-0.0261160819722932,0.0401889363141111,0.2879,0.03019,True,0.04018893631410904,0.09781818181818187,-0.05249434419880764,-0.026116081972293315,-0.0731,0.046983918027706684
UIUC,e374,e374|E374B.DRG|61200,e374,61200,40-60k,2.98,0.426,0.0316,0.4449098720435883,0.0326639919149359,0.9510960123512376,0.0189098720435883,0.0336706302194928,0.3832,0.03351,True,0.03367063021949045,0.06044303797468338,-0.025246436438797284,0.018909872043588294,-0.042800000000000005,0.0617098720435883
